编号,标题,链接
1,552. 学生出勤记录 II :「记忆化搜索」&「动态规划」&「矩阵快速幂」,https://zhuanlan.zhihu.com/p/401026275
2,551. 学生出勤记录 I : 简单模拟题,https://zhuanlan.zhihu.com/p/400549984
3,526. 优美的排列 : 详解两种状态压缩 DP 思路,https://zhuanlan.zhihu.com/p/400242696
4,576. 出界的路径数 :「记忆化搜索」&「动态规划」,https://zhuanlan.zhihu.com/p/399961790
5,1583. 统计不开心的朋友 : 数据结构模拟题,https://zhuanlan.zhihu.com/p/399665692
6,233. 数字 1 的个数 : 将数位 DP 问题转化为计数类模拟题,https://zhuanlan.zhihu.com/p/399397220
7,516. 最长回文子序列 : 区间 DP 求解最长回文子序列问题,https://zhuanlan.zhihu.com/p/399036348
8,446. 等差数列划分 II - 子序列 ：详解如何分析「序列 DP」问题,https://zhuanlan.zhihu.com/p/398603809
9,413. 等差数列划分 : 双指针求解等差数列划分,https://zhuanlan.zhihu.com/p/398196394
10,313. 超级丑数 :「优先队列」&「多路归并」,https://zhuanlan.zhihu.com/p/397864828
11,1137. 第 N 个泰波那契数 :「迭代」&「递归」&「矩阵快速幂」&「打表」,https://zhuanlan.zhihu.com/p/397594416
12,457. 环形数组是否存在循环 :「朴素模拟」&「遍历标记（含优化）」,https://zhuanlan.zhihu.com/p/397361748
13,847. 访问所有节点的最短路径 :「BFS」&「Floyd + 状压 DP」 &「AStar 算法」,https://zhuanlan.zhihu.com/p/397086608
14,【最短路/必背模板】743. 网络延迟时间 : 涵盖所有的「存图方式」与「最短路算法（详尽注释）」,https://zhuanlan.zhihu.com/p/396576813
15,802. 找到最终的安全状态 : 详解何为拓扑排序，以及求拓扑排序方法的正确性证明,https://zhuanlan.zhihu.com/p/396571131
16,611. 有效三角形的个数 :「简单枚举」&「二分枚举」&「双指针」,https://zhuanlan.zhihu.com/p/396192278
17,581. 最短无序连续子数组 :「双指针 + 排序」&「双指针 + 线性扫描」,https://zhuanlan.zhihu.com/p/395761439
18,743. 网络延迟时间 : 五种最短路算法 & 两种存图方式,https://zhuanlan.zhihu.com/p/395376191
19,1337. 矩阵中战斗力最弱的 K 行 :「朴素解法」&「二分 + 优先队列（堆）」,https://zhuanlan.zhihu.com/p/395240370
20,171. Excel表列序号 : 通用进制转换方式,https://zhuanlan.zhihu.com/p/394864407
21,987. 二叉树的垂序遍历 :「DFS + 哈希表 + 排序」&「DFS + 优先队列（堆）」,https://zhuanlan.zhihu.com/p/394861908
22,二叉树寻路的两种方式 :「模拟」&「数学」,https://zhuanlan.zhihu.com/p/394307655
23,863. 二叉树中所有距离为 K 的结点 :「建图 + BFS」&「建图 + 迭代加深」,https://zhuanlan.zhihu.com/p/393857758
24,671. 二叉树中第二小的节点 :「树的遍历」&「递归」,https://zhuanlan.zhihu.com/p/393561872
25,1713. 得到子序列的最少操作次数 : 详解为何能从 LCS 问题转化为 LIS 问题，以及 LIS 贪心解的正确性证明,https://zhuanlan.zhihu.com/p/393197463
26,1743. 从相邻元素对还原数组 :「单向构造」&「双向构造」,https://zhuanlan.zhihu.com/p/392910382
27,1736. 替换隐藏数字得到的最晚时间 : 替换隐藏数字得到的最晚时间,https://zhuanlan.zhihu.com/p/392672995
28,1893. 检查是否区域内所有整数都被覆盖 : 简单题学「树状数组」&「线段树」,https://zhuanlan.zhihu.com/p/392452201
29,138. 复制带随机指针的链表 :「哈希表」&「原地算法」,https://zhuanlan.zhihu.com/p/392042157
30,剑指 Offer 52. 两个链表的第一个公共节点 : 找「两条链表的第一个公共节点」的五种方式,https://zhuanlan.zhihu.com/p/391700263
31,1877. 数组中最大数对和的最小值 : 最大数对和的最小值，贪心解的正确性证明,https://zhuanlan.zhihu.com/p/391379970
32,1838. 最高频元素的频数 : 从「枚举」到「排序 + 前缀和 + 二分 + 滑动窗口」,https://zhuanlan.zhihu.com/p/390972665
33,面试题 10.02. 变位词组 : 统计「词频相同」字符的几种方式（打表技巧）,https://zhuanlan.zhihu.com/p/390740232
34,剑指 Offer 42. 连续子数组的最大和 : 简单线性 DP 与简单拓展,https://zhuanlan.zhihu.com/p/390511281
35,剑指 Offer 42. 连续子数组的最大和」: 两种「二分」统计有序数组中 target 出现次数的思路,https://zhuanlan.zhihu.com/p/390236480
36,1846. 减小和重新排列数组后的最大元素 : 贪心决策原排序数组的每一位，以及贪心解的正确性证明,https://zhuanlan.zhihu.com/p/389912733
37,运用「二分」找最佳替换方案,https://zhuanlan.zhihu.com/p/389529051
38,扫描线算法基本思路 & 优先队列维护当前最大高度,https://zhuanlan.zhihu.com/p/389330798
39,两种二分基本思路,https://zhuanlan.zhihu.com/p/388832920
40,利用二段性找最大 H 指数,https://zhuanlan.zhihu.com/p/388710706
41,数据结构运用：「哈希表套数组」&「哈希表套树」,https://zhuanlan.zhihu.com/p/388372578
42,简单题学摩尔投票算法,https://zhuanlan.zhihu.com/p/388095118
43,和相同的二元子数组 :「前缀和 + 哈希表」&「双指针」,https://zhuanlan.zhihu.com/p/387727401
44,详解几种「枚举 & 计数」的基本思路,https://zhuanlan.zhihu.com/p/387400968
45,比较哈希表与红黑树两种实现,https://zhuanlan.zhihu.com/p/387040802
46,数据结构运用模拟题（双栈表达式计算的简化版）,https://zhuanlan.zhihu.com/p/386714407
47,数据结构运用模拟题,https://zhuanlan.zhihu.com/p/386265843
48,为啥不是「背包」是「贪心」，以及「贪心解」的正确性证明,https://zhuanlan.zhihu.com/p/385972123
49,图论搜索与动态规划求方案数,https://zhuanlan.zhihu.com/p/385632896
50,【综合笔试题】难度 3/5，两遍 DP 的回文串分割题,https://zhuanlan.zhihu.com/p/385443584
51,二叉树的序列化与反序列化,https://zhuanlan.zhihu.com/p/385319839
52,【简单模拟题】一道特殊的进制转换题,https://zhuanlan.zhihu.com/p/384973459
53,【图论搜索专题】如何使用「多源 BFS」降低时间复杂度,https://zhuanlan.zhihu.com/p/384798506
54,【图论 BFS 搜索】并查集加速双向 BFS（附朴素 BFS 解法）,https://zhuanlan.zhihu.com/p/384699914
55,图论 BFS 模拟题,https://zhuanlan.zhihu.com/p/384499119
56,发挥 A* 算法最大价值的关键点（附朴素 BFS 解法）,https://zhuanlan.zhihu.com/p/384179485
57,双向 BFS 基本思路（含模板）以及两种「启发式搜索」算法,https://zhuanlan.zhihu.com/p/383947524
58,【综合笔试题】难度 2.5/5，结合了「DP」和「回溯」的经典回文串题目,https://zhuanlan.zhihu.com/p/383499210
59,两种「统计直线上最多的点数」的思路,https://zhuanlan.zhihu.com/p/383496378
60,四种方式统计「二进制表示中 1 的个数」,https://zhuanlan.zhihu.com/p/383139342
61,通用实现去重的两种方式,https://zhuanlan.zhihu.com/p/382849590
62,【动态规划/背包问题】背包问题第一阶段最终章：混合背包问题,https://zhuanlan.zhihu.com/p/382832176
63,简单题学打表法,https://zhuanlan.zhihu.com/p/382537378
64,使用「单向链表 & 标记删除」维护继承顺序,https://zhuanlan.zhihu.com/p/382291683
65,一题三解 : 「剪枝 DFS」&「二进制枚举」&「模拟退火」,https://zhuanlan.zhihu.com/p/382076463
66,优雅实现字符串模拟,https://zhuanlan.zhihu.com/p/381434979
67,【图论搜索专题】如何使用「双向 BFS」解决搜索空间爆炸问题,https://zhuanlan.zhihu.com/p/381430881
68,经典区间 DP & 经典博弈游戏,https://zhuanlan.zhihu.com/p/381082913
69,二分 & 三分查值问题,https://zhuanlan.zhihu.com/p/380717502
70,【动态规划/背包问题】多重背包の单调队列优化,https://zhuanlan.zhihu.com/p/379510583
71,特殊多维费用背包问题解决方案,https://zhuanlan.zhihu.com/p/379162623
72,详解为何能转换为背包问题,https://zhuanlan.zhihu.com/p/378840156
73,（四解）目标和问题 : 「DFS」&「记忆化搜索」&「全量 DP」&「优化 DP」,https://zhuanlan.zhihu.com/p/378647703
74,从更本质的角度去看「加油站」问题,https://zhuanlan.zhihu.com/p/378645887
75,【设计数据结构】实现一个 LFUCache,https://zhuanlan.zhihu.com/p/377580645
76,【设计数据结构】实现一个 LRUCache,https://zhuanlan.zhihu.com/p/376839059
77,优化枚举的基本思路与进阶内容,https://zhuanlan.zhihu.com/p/376248895
78,应用乘法原理统计集合元素组合个数,https://zhuanlan.zhihu.com/p/376248060
79,如何抽象成二维问题进行求解,https://zhuanlan.zhihu.com/p/375051469
80,74. 搜索二维矩阵:「二分」&「抽象 BST」解法,https://zhuanlan.zhihu.com/p/374825326
81,同一贪心思路的两种求解方式,https://zhuanlan.zhihu.com/p/374819111
82,详解如何得出状态转移关键点,https://zhuanlan.zhihu.com/p/374817541
83,借这个问题来实现一个「可删除/计数」的 Trie 树,https://zhuanlan.zhihu.com/p/374540497
84,详解为何元素相同会导致 O(n)，一起看清二分的本质,https://zhuanlan.zhihu.com/p/374386470
85,「树的搜索」&「二叉树的中序遍历」解法,https://zhuanlan.zhihu.com/p/374365124
86,【图解 Trie】两种实现 Trie 的方式及其优缺点对比分析,https://zhuanlan.zhihu.com/p/374363453
87,从 I 到 II : 如何将「新限制条件」拎出，将问题转化为已解决方案,https://zhuanlan.zhihu.com/p/374360841
88,应用「博弈论」分析「先手必胜态」序列具有何种性质,https://zhuanlan.zhihu.com/p/374328668
89,优化枚举的基本思路 & 将二维抽象成一维 & 最大化「二分」效益 & 空间优化,https://zhuanlan.zhihu.com/p/373834647
90,详解为何能转换为序列 DP 问题,https://zhuanlan.zhihu.com/p/373823948
91,利用「二段性」找分割点，以及如何确定「二分范围」,https://zhuanlan.zhihu.com/p/373780933
92,降低确定「记忆化容器大小」的思维难度 & 利用「对偶性质」构造有效状态值,https://zhuanlan.zhihu.com/p/373772040
93,正难则反，使用哈希表求解,https://zhuanlan.zhihu.com/p/373751561
94,详解使用「哈希表」&「优先队列」进行求解,https://zhuanlan.zhihu.com/p/373744876
95,【动态规划/背包问题】详解「完全背包」问题 & 三种背包问题之间的内在关系,https://zhuanlan.zhihu.com/p/372430744
